Interrel;RelGroup;Toleran;ConEnt;Learn;Comm;Happy;Compared;Embrace;LittleHap
 4.67 ;5;4; 3.5 ;5;4.33;6;6;6;2
4.33;5;4;4;5;5;6;6;6;2
4.33;3.67;4.33;3.5;3.33;4;6;6;5;3
4;4.33;3.67;4;3.33;3;5;5;5;2
3.33;3.33;4;4;3.33;3.67;6;6;6;2
4;3.67;4;4.5;5;4.67;7;7;6;2
2.67;4;3.33;3.5;4.33;5;7;6;6;4
4.33;5;4;5;4.67;5;7;6;7;2
5;5;5;5;5;5;7;7;7;1
3;3;3.33;3.5;3.67;3.33;5;6;6;3
4.33;3.33;4;4;3.67;4;7;7;7;1
4.33;4.67;3.67;5;5;4.67;4;3;4;6
4.33;4.33;5;5;4.67;4;6;5;6;1
4.67;4.67;3.67;4.5;3.67;4;6;7;6;2
4.67;4.67;4;4;4.33;4.33;6;6;6;2
4.33;3.67;4;4.5;4;3.67;7;7;6;1
4.33;4;4;4;3.33;4.67;7;6;6;2
5;4.67;5;5;5;5;6;7;7;1
3.67;4;3.67;4;4;3;4;4;4;3
3;2.67;2.67;3;3.33;3.67;6;6;6;6
4;5;4.67;5;5;4.33;7;7;7;1
5;4.67;3;4.5;5;4;6;6;7;2
3.33;4;5;4;3.33;4.33;4;2;3;5
4.67;4.67;4;4;4.33;5;7;7;7;1
4;3.33;3.33;3;4.33;4;5;5;4;2
3.67;3.33;3.33;3.5;4;3.33;6;6;6;6
4.67;4.67;3.33;4.5;4.67;5;6;6;6;2
4.67;4.33;4.33;4.5;4;4.33;6;6;5;3
4.67;5;4.67;4.5;4;4.67;7;7;7;1
4.67;4.33;4.33;5;4.33;3.67;3;3;1;6
5;5;4.33;4.5;4.33;5;5;5;3;2
4.33;4.67;4.67;4.5;4.67;4.67;7;6;6;2
4.33;4.67;4.33;4.5;5;4;7;6;5;1
3.33;4;3.33;4.5;4.67;4;5;6;5;3
4.33;4;4.67;4;4.33;4.67;5;5;4;2
4.67;5;3;4.5;4;4;6;6;6;2
4.33;4.67;2.67;5;4;4.33;5;5;5;7
4.67;4;4;4;4;4.67;7;6;6;1
4.67;5;4.33;4;4.33;4.33;6;6;6;4
5;4.67;4.33;4;4.67;4.33;7;7;7;1
4;4.33;4.33;4.5;4;3.67;4;5;3;2
5;4.33;5;4;4.33;4.33;6;5;5;4
5;4.33;4.33;4;4.67;4.33;5;5;5;4
4;3.67;3.33;4;3.67;4;5;6;4;4
4.67;4.33;4;5;4.67;4.33;7;7;6;2
3.33;3.67;3.33;4;3.67;3.67;5;5;4;2
4.33;4;4.33;3.5;4.33;4;5;6;6;3
4;4;3.67;4;3.33;4;4;3;3;5
4.33;3.33;4;3.5;4;4.33;6;6;7;1
5;3.67;3.67;4;4.33;3.67;6;7;6;5
4.67;4;3.33;3.5;4;4;5;5;4;2
3.67;3.67;3.33;4;4.67;3.67;5;5;6;2
5;5;4.33;4;4.33;5;6;7;7;1
3.67;3.67;4;4.5;4.33;3;5;5;4;2
4.33;4.67;4.33;4;4.33;4;7;6;7;1
4.33;4.67;5;5;4.33;4.33;7;7;7;2
3.67;4.33;3.33;3.5;5;4;5;5;4;5
4.33;5;5;4.5;4.33;5;5;5;5;3
4.33;3;3.67;4.5;4.67;3.67;6;6;4;1
5;4.67;4.33;4.5;5;5;6;6;6;1
5;4.67;4.33;5;5;4.67;6;6;7;1
4.67;4.67;4;5;4.33;4.67;5;5;3;3
4.33;3.67;4;3.5;4.67;5;6;6;5;2
3.67;3.33;3.67;4;3.33;4;6;6;7;2
4.67;4.67;4;4;3.67;3.67;7;7;7;1
4;4;3.67;4;3.33;4;5;5;4;3
5;4.33;3.33;3;4;4.33;6;7;6;1
4.33;4.33;3.33;4.5;4.67;4;7;7;7;1
4.67;4.33;3.33;4;4;5;6;6;5;3
4.67;4;4;4.5;4;4.67;6;7;6;1
4.33;4.67;4.67;4;4.33;4.33;6;6;5;2
4.33;4.33;4.67;5;5;4.33;7;7;6;2
5;4.33;4.67;5;5;5;5;5;6;5
2.67;3.67;4.33;3;4;4.33;6;5;5;2
4;4.33;4;4;4;3.67;7;6;7;2
5;4.67;4.33;5;5;4.67;4;6;5;2
4;4.67;5;4.5;4.33;3.67;6;6;6;2
5;4.67;3.67;5;4.67;5;6;5;5;1
4.33;3.67;4;4;3.67;4;6;5;5;3
4.67;4.67;4;5;5;5;6;6;6;3
4.67;4.67;4.33;4.5;5;4.67;7;6;6;2
4.67;5;4.33;4.5;5;5;7;7;7;2
4;3.67;4.33;4;4.33;4.33;6;6;5;5
4;4.33;4;4.5;4.33;4;6;6;5;6
2.33;2.67;2.33;3;3.67;3;5;5;3;5
5;4.67;4;4.5;5;4.67;6;5;5;2
5;4.33;5;5;4.67;4.67;7;7;6;7
4.67;5;4.67;5;5;4.67;7;6;6;1
4.33;4;4.33;5;5;3;5;4;4;4
3;4.67;4.33;5;4.67;5;5;6;7;6
4.33;4;4.33;4.5;4.67;5;6;6;7;1
4.33;3.67;3.67;4;4.67;4.67;6;6;7;1
4.33;4;4.33;4.5;4.33;4;7;7;6;1
5;4.67;4.67;5;5;4.67;6;7;7;2
4;4;3.67;4;3.33;4;4;6;5;5
4;4;4;4;4.33;3.67;7;7;7;2
4.67;5;4.33;5;4;4.33;7;7;7;1
3.67;4;4.33;5;5;4.67;6;7;7;5
4;3.67;4;3.5;3.67;2.67;3;3;4;7
4.33;4.67;3.67;3;3.67;4;6;6;6;2
4.67;5;4;5;4.67;4.33;6;5;4;4
4;4.33;4.33;4;5;4.33;4;5;5;4
4.33;3.33;2.67;3.5;5;4;5;6;4;5
4.33;4;5;3.5;4.67;4.67;4;5;6;2
3.33;4.33;5;4.5;5;3.33;4;4;4;6
3.67;4.33;3.67;5;5;4;5;6;5;2
5;5;4.67;5;5;5;7;7;1;1
4;4;4;3.5;2.67;4.67;3;4;4;6
5;5;4.67;5;5;5;7;7;7;2
3.33;4;3.33;4;3.67;3;5;5;3;5
4.67;4;4;5;5;4;6;6;6;1
5;2.67;5;5;5;4.67;7;6;7;4
3.33;4.33;3.67;4;4;4;6;6;7;1
4.33;3.67;4.33;4;4;4;5;6;6;2
4;5;4;5;4.67;4.33;7;7;5;2
5;4.33;4.33;5;5;4.33;7;7;7;1
4;5;3.67;5;4.67;4;3;4;3;3
4.67;4.67;5;4.5;5;4.33;7;6;6;2
5;4.67;5;5;5;5;6;6;6;6
4.67;4.67;4;4.5;5;4.33;5;5;5;3
4;3.33;3.33;3.5;3.67;4.33;6;6;6;2
4.67;4.67;3.67;4;4.33;5;5;5;5;3
4.67;4;3;4;4.67;4.33;6;6;5;2
4.67;4.67;3.67;4.5;5;4;6;5;5;2
4;4.33;3.33;3.5;3.67;3.67;6;6;6;2
4.33;3.67;3.67;3.5;4;4.33;7;6;6;4
4.67;3.33;4.67;4;4;4;6;6;6;2
4.33;4.67;4.33;4.5;4.33;4.33;5;5;4;3
5;5;4.33;5;4.67;5;7;7;7;1
4.33;4.67;5;4.5;4;3.33;6;6;5;2
3.67;4.67;4.33;4;4.67;4.33;7;7;7;1
5;5;5;4.5;5;4;7;7;7;1
4;4.67;3.67;4.5;3.67;4;5;5;5;3
5;4.33;5;5;4.67;4.33;7;7;6;1
4.33;3.67;3.33;4.5;4.33;4;7;6;7;1
4.33;4;3;3.5;4.33;3;3;3;3;2
3.33;3.67;3.67;4.5;4;4;5;5;5;5
4.67;4.33;4.67;4;5;4.67;7;7;5;5
4.67;4.67;4.67;5;4.33;5;6;6;6;2
4.33;4;4;4;4;4.33;7;7;7;1
4.67;5;4;4.5;5;5;6;7;6;2
4.33;4.33;4;4;5;4;6;6;6;3
4;3.67;3.67;4;4.67;4;6;5;5;4
4.33;4;5;4.5;4.67;4.33;5;6;5;3
4;4.33;4.67;4.5;4.67;4;7;7;6;2
4.33;3.67;4.33;4.5;5;3.67;5;5;4;5
2.67;2.67;2.33;3;4.33;3.33;1;3;3;4
4.67;3.67;5;4.5;5;5;7;7;7;2
5;4.67;4.67;5;5;4.67;6;6;6;2
4.33;4.67;4.67;4.5;5;5;5;6;6;3
4.33;4;4.33;3.5;4.33;4.33;5;5;4;2
4.67;4.33;4.33;4;4.33;4.33;6;6;6;2
5;4.33;4;5;4.67;4.33;7;5;6;2
4.33;5;4;4;4.33;4.67;6;6;5;1
4.33;5;4.67;5;5;5;6;6;6;5
5;4.33;4.33;4;4.33;4.33;5;5;5;3
3.67;5;4;4;3.33;3;5;6;5;3
3.67;4.33;4.33;4.5;5;4;6;5;5;2
4.67;4.33;4;4;4.33;4.33;6;5;7;2
4.67;4.33;3.67;4;3.67;4.33;6;6;6;2
5;4.67;4;4.5;5;4.67;2;6;5;2
5;5;5;5;5;5;7;7;7;1
4.67;5;5;4.5;3.67;4;6;5;5;3
4.33;3;3;3.5;5;3;4;5;6;2
4.33;4.67;4;4.5;4.33;4.33;6;4;5;2
4;4.33;4.67;3.5;4.33;4;6;6;6;2
4.67;4.33;3.33;4;5;4;6;6;3;2
5;4;4.67;4.5;4.67;4.33;7;7;6;2
4.33;4.33;4;4.5;4.33;4.67;6;7;5;1
4.67;2.33;4.67;4.5;4;4.33;7;7;6;2
5;5;4.33;5;5;4.67;7;5;7;2
4;4;4.67;5;4.67;3.33;6;6;6;3
4;4.67;3;5;5;4.33;5;6;4;4
4.33;4.33;4.33;3.5;5;4.33;6;6;5;3
5;5;4;4;4.33;4.67;6;6;5;1
5;5;4.67;4.5;5;5;7;7;6;2
4.67;5;3.33;3;4.33;5;7;6;7;1
5;4;4;5;3;5;7;6;6;5
4;4.33;4;5;5;4.33;6;6;7;2
4.33;4;3.33;4;4.33;4.33;5;5;6;2
4;3.67;2.67;3.5;4;2.67;5;5;5;3
4.33;4;3.33;4;3;5;6;6;5;4
4.67;4.33;3.67;4;5;4.33;6;6;6;6
3.67;4.33;3.67;3.5;3.67;3.67;6;6;6;3
4.33;5;4.33;5;5;4.67;6;6;6;3
4;4;3.67;4;4;4.33;5;4;4;4
4.67;4.33;3.67;4;4.67;4.67;7;6;7;2
5;3.67;4;4.5;5;5;7;7;6;1
5;4;4;5;3;5;7;6;6;5
4.33;4.33;4.33;5;4.33;4.67;6;6;4;2
4;4.67;3.33;4;4.33;4.67;6;5;4;2
4.33;4.67;4.33;5;3.33;3.67;7;7;6;1
4;3.67;3.33;4;4.67;4.33;6;6;6;3
4.67;4;4;4;4;5;7;7;5;2
4.67;5;5;5;5;5;7;7;7;1
4.33;3.33;3.33;4.5;5;5;5;5;4;3
5;4.33;4.33;3.5;4.33;4.33;6;6;6;1
3.33;3.67;4.67;4.5;4;3;3;4;5;4
4.33;4.67;4.67;4.5;4;3.33;6;5;5;2
4;4;4;4;4.33;4;7;6;6;2
4;4;4.67;4.5;4;3.67;6;6;6;3
4;4.67;3.67;4;4.33;4;7;6;5;2
4.67;3.33;3;4;3.33;4.33;7;6;6;1
5;4;4;4.5;4.67;4.67;6;6;3;2
4;3.67;3.67;5;3.67;4;7;7;7;1
5;5;4.67;4.5;5;5;7;6;6;2
4;5;5;5;4.67;3.67;7;6;6;1
4;4.67;5;5;5;4.67;6;5;7;4
4;3.33;4;5;3.33;4.33;5;5;4;5
4.67;5;4.67;4.5;5;4.67;6;6;6;3
4.33;4.33;3.67;4.5;4.67;5;7;6;7;3
4.33;4;3.33;4.5;3;4;6;6;5;2
3.67;3.67;2.67;3;4.67;4.33;7;7;6;1
3.67;3;3;3;3;3;5;5;4;2
